# q      i          sigma
0.191296 13.668068 0.140931
0.191802 13.359768 0.144881
0.192309 13.122879 0.158453
0.192816 12.863965 0.152056
0.193323 12.560063 0.141716
0.193829 12.603983 0.168340
0.194336 12.447189 0.147438
0.194843 12.235089 0.133841
0.195349 12.216498 0.137098
0.195856 11.974076 0.154300
0.196363 11.932503 0.139848
0.196869 11.574247 0.132092
0.197376 11.639158 0.133073
0.197883 11.295391 0.149166
0.198389 11.185263 0.177043
0.198896 11.027169 0.125575
0.199403 10.874064 0.145830
0.199909 10.900402 0.133431
0.200416 10.399148 0.143233
0.200923 10.452375 0.147498
0.201429 10.331380 0.145183
0.201936 9.936923 0.161874
0.202443 10.062142 0.150218
0.202949 9.722739 0.132727
0.203456 9.704043 0.133262
0.203963 9.450802 0.137152
0.204469 9.462300 0.147462
0.204976 9.403454 0.237113
0.205483 9.451896 0.447819
0.205989 9.032650 0.149894
0.206496 9.010599 0.164963
0.207003 8.843983 0.200679
0.207509 8.773846 0.137758
0.208016 8.529114 0.151398
0.208523 8.588819 0.127970
0.209029 8.435259 0.137028
0.209536 8.375484 0.129159
0.210043 8.185725 0.127147
0.210549 8.198341 0.442266
0.211056 8.000955 0.159034
0.211563 7.716964 0.322280
0.212069 7.982390 0.135223
0.212576 7.655103 0.139196
0.213083 7.441016 0.136336
0.213589 7.486182 0.137240
0.214096 7.397939 0.126058
0.214603 7.261897 0.131884
0.215109 7.091478 0.119406
0.215616 7.000550 0.139282
0.216123 6.937012 0.130603
0.216629 6.827011 0.133548
0.217136 6.782492 0.131525
0.217643 6.658687 0.140264
0.218149 6.816630 0.132981
0.218656 6.509535 0.119455
0.219163 6.461123 0.136206
0.219669 6.572928 0.125354
0.220176 6.404465 0.143816
0.220683 6.225798 0.122671
0.221189 6.145825 0.136053
0.221696 6.074508 0.135387
0.222203 6.352054 0.123772
0.222709 5.990860 0.125736
0.223216 6.140178 0.207516
0.223722 5.788679 0.135683
0.224229 5.471023 0.186452
0.224736 5.641437 0.178339
0.225242 5.609611 0.126247
0.225749 5.595561 0.124539
0.226256 5.524916 0.122027
0.226762 5.364281 0.146751
0.227269 5.295111 0.123839
0.227776 5.349578 0.121489
0.228282 4.949151 0.119312
0.228789 5.183132 0.131208
0.229296 5.006844 0.117142
0.229802 5.023360 0.123366
0.230309 5.060542 0.126066
0.230816 5.155342 0.111624
0.231322 4.916257 0.124929
0.231829 4.922948 0.119550
0.232335 4.821204 0.119568
0.232842 4.710234 0.114037
0.233349 4.800497 0.115457
0.233855 4.547354 0.117303
0.234362 4.759192 0.159430
0.234869 4.621986 0.117671
0.235375 4.706420 0.217363
0.235882 4.608414 0.118237
0.236389 4.548307 0.120838
0.236895 4.477559 0.384238
0.237402 4.414800 0.135794
0.237908 4.434541 0.126711
0.238415 4.459186 0.149551
0.238922 4.068659 0.265441
0.239428 4.210248 0.166437
0.239935 4.166420 0.114057
0.240442 4.076889 0.198221
0.240948 4.148368 0.120341
0.241455 4.020645 0.133060
0.241962 3.941377 0.150372
0.242468 3.856274 0.117481
0.242975 3.903898 0.110647
0.243481 4.060588 0.114076
0.243988 4.054906 0.118278
0.244495 4.256952 0.226380
0.245001 4.080014 0.123233
0.245508 4.063120 0.227237
0.246015 3.966528 0.247485
0.246521 4.091300 0.112284
